i,export_value,balance_ratio,export_stability_index,top_five_export,export_entropy,export_HHI,export_partner_count,average_export_distance,farthest_export_distance
100,91464650.61088793,0.9034064074820413,0.05472994212226201,16253143.66307274,6.097845462868097,0.009727468108617783,196,2026.222928797385,17256.21181237496
104,53141779.499901846,0.7072847126077451,0.052967086738012745,22493917.99488373,4.3411053408398494,0.062216618487107654,179,2954.8029822633544,18359.588772868497
108,727587.050224347,0.30833017639844684,0.03451397527195927,566995.3744327929,2.4084829644679773,0.21449960940399523,106,4017.0283296448706,14424.132667067224
112,84746734.23274897,0.8800035517279043,0.08477504800498062,29039146.27241117,5.14946512511881,0.04614794493375327,176,3013.5015042469417,17027.579754989052
116,56355532.953703575,0.9020297138169439,0.019568664769560307,12126154.639435276,4.694041939563195,0.018476093709600842,161,6777.334518459012,19611.39680464817
12,107696295.29997143,0.7752568483337138,0.046336475049993074,96166575.74027514,1.8899988273555872,0.22474601439779768,152,4404.098445857997,18187.924096527953
120,12594574.023383403,0.7511491419825503,0.019272955262250265,7894590.493892746,2.9814959431552013,0.12969751628719106,155,6287.140527744242,17127.730350567195
124,1189472143.9465864,1.1140479551781899,0.043842154209978106,335051766.6681856,5.469100566461929,0.026298066873573934,213,7683.8068947644415,15074.67484896765
132,336496.8365944191,0.1319247411781727,0.020927511418596948,196687.16970307435,3.1419429049180927,0.0871682061397766,95,3646.2430432256215,17530.499790934242
140,495461.9391936908,0.4465606847685664,0.11780810364995238,272589.2652616734,3.269276430808976,0.09931664641143424,109,6255.365503761116,15816.670203489599
144,34471339.30654299,0.5782601747218654,0.022045210088493892,7086940.805994678,5.227675057795325,0.015104134820434085,191,7154.392650312801,17639.290776885515
148,4256289.223124106,2.1877284144099494,0.09178120702476701,4202901.425403122,0.6631165789226797,0.7240910282676751,87,5665.908411632808,16084.375504516205
152,210176260.06421328,1.094991079372433,0.0554662101570449,105750020.35756974,3.9008261644059514,0.09616043465228168,190,14615.885214693684,19564.495346650838
156,7300763247.444649,1.6891211539536526,0.06330871155015501,1321235900.998225,6.412107988840766,0.010281347485075717,206,6348.305363204342,19564.495346650838
